,uuid,company_name,homepage_url,country_code,state_code,region,city,zipcode,short_description,category_group_list
11,711bdeac-3cb7-c7ba-d4c8-5b9ff4b1b37a,BlackThorn Therapeutics,http://www.blackthornrx.com/,USA,CA,SF Bay Area,South San Francisco,94080,BlackThorn Therapeutics is a clinical-stage biopharmaceutical company,
12,f9d73d3b-177c-21ad-1cad-366af1f94df4,"Bumpers, Inc.",http://www.bumpers.fm/,USA,NY,New York City,New York,,"Bumpers develops an iOS app that allows users to make apodcast direct from their mobile devices, using the phone's built-in microphones.",
13,266be32a-2ae7-87ff-4dcc-5672d4a54641,Capricor Therapeutics,http://www.capricor.com,USA,CA,Los Angeles,Los Angeles,90048,"Capricor Therapeutics is a biotechnology company focused on the discovery, development and commercialization.",biotechnology|health care|science and engineering
14,56ea3d53-bc8c-fec3-c65b-925f4d80db17,Cardiogram,https://cardiogr.am,,,,,,"Cardiogram organize your mobile health data by making it meaningful, useful, and actionable.",apps|health care|software
15,6c30ec8c-d283-07ef-4874-634b1dbf86eb,ChatOnGo,http://chatongo.com/,IND,,Mumbai,Mumbai,400 010,ChatOnGo is a hyper local platform bringing vendors closer to their customers,
16,c2ee6373-f9cf-2ee7-3919-7f94c2e34bc0,CityFALCON,http://www.cityfalcon.com,GBR,,London,London,E14 5AB,Democratising access to financial news,data and analytics|financial services
17,ebf1b549-40cb-fbe4-b5a8-2c706dee7d59,Contorion,http://www.contorion.de,DEU,,Berlin,Berlin,10969,"Contorion.de is a B2B online marketplace for maintenance, repair and operations (MRO) products",internet services
18,c5019228-8d89-0c4b-3d5a-16b9e9c379bb,CourseStorm,http://www.coursestorm.com,USA,ME,ME - Other,Orono,04473,Impossibly simple course registration,education
19,7a551f83-f2a8-1fb9-8758-f4a42671e037,Ejiupi,http://www.yijiupi.com,CHN,,Shanghai,Shanghai,,B2B platform in China's alcoholic industry,
20,173c5854-80f4-bd91-977d-dd4445cdf0fd,Emulate,http://emulatebio.com,USA,MA,Boston,Cambridge,02139,"Emulate, Inc. is a private company focused on commercializing Organs-on-Chips.",biotechnology|health care|science and engineering
21,dba2c3b4-126a-5aa8-8a43-e80ecea7be68,EnergySavvy,http://www.energysavvy.com,USA,WA,Seattle,Seattle,98104,"EnergySavvy provides utilities with cloud solutions to drive customer intelligence, engagement, and action.",energy|hardware|internet services|software|sustainability
22,69d91137-499e-467f-ec47-c2e972e9e18a,Feedzai,http://www.feedzai.com,USA,CA,SF Bay Area,San Mateo,94402,"Feedzai, a data science company, offers software that uses big data analysis and machine-based learning to prevent fraud in commerce.",data and analytics|financial services|information technology
23,392268c3-8e74-6066-7783-9d19f5e80411,Flat6Labs,http://www.flat6labs.com,EGY,,Cairo,Gîza,,Flat6Labs is Sawari Ventures’ dedicated startup accelerator for seed stage investments.,apps|education|financial services|lending and investments|software
24,9c4dc690-eada-466e-d55f-3db4144fd97e,Hipcask,http://www.hipcask.com/,IND,,Mumbai,Mumbai,400 053,"Hipcask is a smartphone application that enables users to discover wines, whiskies, and beers.",apps|software
25,3313cf72-8272-187e-c0b2-8de5d55b7897,Hopster TV,http://www.hopster.tv,GBR,,London,London,EC1M 4EH,"The only safe and ad-free TV and learning app, just for kids aged 2-6. http://bit.ly/gethopsternow",apps|education|mobile|platforms|software
26,b2ad4b5b-1d18-2aae-9276-ae0c3fb75306,Kernel Co.,http://kernel.co/,USA,CA,Los Angeles,Los Angeles,,"Kernel is a human intelligence company developing the world’s first neuroprosthesis to mimic, repair and improve cognition.",
27,5e45b25f-858d-9eaf-434c-cff42d1eb589,Nvoicepay,http://www.nvoicepay.com,USA,OR,"Portland, Oregon",Beaverton,97008,Nvoicepay delivers strategic payments solutions to automate accounts payable.,financial services|professional services
28,613faa5f-40f1-2f29-3d86-f1e66eb9159f,NXTP Labs,http://www.nxtplabs.com,ARG,,Buenos Aires,Buenos Aires,C1414DMJ,NXTP Labs is the most active early stage fund for tech companies in Latin America. Acceleration and growth are part of our DNA.,commerce and shopping|education|financial services|lending and investments|mobile|transportation
29,e239dcb8-3072-17d2-c8ba-66c2e8a2b6b8,Pick Protection,http://pickprotection.com/,GBR,,Glasgow,Glasgow,,Pick Protection is security & investigation company.,
30,85dd6bd7-56ca-416a-cf5f-24546cf42036,Propeller Health,http://www.propellerhealth.com,USA,WI,Madison,Madison,53703,"Propeller Health is a mobile platform that offers sensors, mobile apps, analytics, and services to support respiratory health management.",data and analytics|health care
31,e7fa5e5b-61fe-5cff-3203-b0041ccfd5f4,Securly,http://securly.com,USA,CA,SF Bay Area,Santa Clara,95054,"Securly is a web filter that enables educators to use instructional tools such as Google, YouTube, and Wikipedia in classrooms.",consumer electronics|education|hardware|software
32,fc22c939-0f00-89d6-7c04-132e95141d06,Simptek Technologies,https://www.simptekinc.com/,CAN,NB,Fredericton,Fredericton,E3B 1B2,Enabling utility companies to better engage,
33,77e6bb07-93af-b43f-8329-b6d852ac2cf9,Starteed,http://www.starteed.com/,ITA,,Turin,Turin,10122,Starteed is a crowdfunding site that helps all people who have an original idea to make it real thanks to the financial and social support,financial services
34,8e714711-e8fa-6df4-06cf-2b30af648723,Terra Solar,http://www.terrasolar.ie/,IRL,,Dublin,Dublin,,Terra Solar is at the forefront of solar energy development,
35,2e4fd3bd-8c6d-ceb2-a48d-a821da8792e3,The Student Hub,http://thestudenthub.co/,ZAF,,Cape Town,Cape Town,7945,Join The Textbook Evolution,
36,bcf5f17b-ae10-4d28-e5d7-4b6a67f7bbb4,TravelBank,http://travelbank.com/,USA,CA,SF Bay Area,San Francisco,,TravelBank develops a travel and expense system targeting small to medium businesses.,
37,fa3b1ad4-d27f-33f0-ccff-5f74c6e9fc1c,Triseum,http://triseum.com/,USA,TX,TX - Other,Bryan,77803,Triseum is a game-based learning company blending cutting edge video game experiences with deep education expertise,education|gaming
38,f3c446ac-a246-4159-2b38-97af25a69bed,ULU,http://www.ulu.io,NLD,,Eindhoven,Eindhoven,5656 AE,"ULU It is marriage of hardware, software, cloud intelligence and services, that will revolutionize the way we interact with our car.",mobile|transportation
39,3e8132f9-67b4-7731-f873-7a0624d32175,Undo,http://undo.io/,GBR,,London,Cambridge,CB5 8LA,Undo's unique recording and reversible debugging technology lets developers know exactly what their software did.,software
40,0b723098-d24e-f252-11a6-61a67b72531f,USRealty.com,https://usrealty.com/,USA,NY,New York City,New York,10036,USRealty.com is a New York City based innovative online real estate company.,
41,b85405f9-8e9e-e862-661b-b9f1c4257d0e,Venbrook Insurance Services,http://www.venbrook.com/,USA,CA,Los Angeles,Woodland Hills,91367,Venbrook Insurance Services is a national leader in insurance broking and risk management solutions.,
42,2d9667bc-823f-1e88-ac66-9f5f62f55a64,Verdigris Technologies,http://www.verdigris.co,USA,CA,CA - Other,Moffett Field,94035,Verdigris Technologies is a SaaS-based platform that develops artificial intelligence in order to optimize energy consumption.,data and analytics|energy|internet services|software
43,f706b85f-2680-f695-a6c9-6e8cb6bc6e72,WeShop,http://www.weshop.com,USA,NY,New York City,New York,,"WeShop was a consumer network in beta that facilitated communication between consumers, merchants and vendors.",internet services
44,33f309bf-8fb7-f9ac-aa67-ab21ce904dab,Wilderness Safaris,http://www.wilderness-safaris.com,,,,,,Wilderness Safaris is a company that protects wilderness areas with the flaura and fauna in their areas.,
45,14829078-9288-a615-fbc4-c3f287486196,EverQuote,https://www.everquote.com/,USA,MA,Boston,Cambridge,02139,EverQuote is an independent insurance marketplace and is a free service that helps consumers compare quotes on auto insurance.,internet services
46,9d7e89a4-a4cf-452c-a36b-c457aafcfc8f,Makerist,http://www.makerist.de,DEU,,Berlin,Berlin,10969,Makerist is the leading European DIY and handicraft platform.,commerce and shopping
47,9185a077-c260-ac40-2678-fef9e645591b,Monzo,https://monzo.com/,GBR,,London,London,,"Building a bank as smart as your phone. Intelligent notifications, instant balance updates and financial management.",financial services|lending and investments
48,b7504f9f-8397-b921-b847-3f6da3a11f4e,Solutions Infini,http://www.solutionsinfini.com,IND,,Bangalore,Bangalore,560078,Leading provider in Enterprise Messages,information technology|internet services|messaging and telecommunications|sales and marketing
49,c331dd1f-f18c-5e80-2105-ede74c824b6c,ZappiStore,https://zappistore.com,GBR,,London,London,NW1 7JR,ZappiStore is the online research provider that is changing the way that companies are accessing insight.,internet services
