entity_uuid,customer_uuid,created_at,updated_at
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,8e7e338d-3cf1-dc55-21dd-6ab55ae2fab0,2016-10-21 21:23:11.782367,2016-10-21 21:23:11.78212
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,8e7e338d-3cf1-dc55-21dd-6ab55ae2fab0,2016-10-21 21:23:11.782367,2016-10-21 21:23:11.78212
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,8e7e338d-3cf1-dc55-21dd-6ab55ae2fab0,2016-10-21 21:23:11.782367,2016-10-21 21:23:11.78212
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,d6bbf3f7-5662-1b84-0fc4-3c9fd0ce63d6,2016-10-21 21:22:48.486374,2016-10-21 21:22:48.486017
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,d6bbf3f7-5662-1b84-0fc4-3c9fd0ce63d6,2016-10-21 21:22:48.486374,2016-10-21 21:22:48.486017
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,d6bbf3f7-5662-1b84-0fc4-3c9fd0ce63d6,2016-10-21 21:22:48.486374,2016-10-21 21:22:48.486017
ac285745-a37e-e94e-3749-7b5f59fe9b1e,af1cb234-2108-fc02-272a-5ade65278655,2016-10-21 20:42:18.987133,2016-10-21 20:42:18.98685
ac285745-a37e-e94e-3749-7b5f59fe9b1e,af1cb234-2108-fc02-272a-5ade65278655,2016-10-21 20:42:18.987133,2016-10-21 20:42:18.98685
ac285745-a37e-e94e-3749-7b5f59fe9b1e,af1cb234-2108-fc02-272a-5ade65278655,2016-10-21 20:42:18.987133,2016-10-21 20:42:18.98685
ac285745-a37e-e94e-3749-7b5f59fe9b1e,af1cb234-2108-fc02-272a-5ade65278655,2016-10-21 20:42:18.987133,2016-10-21 20:42:18.98685
ac285745-a37e-e94e-3749-7b5f59fe9b1e,f0089aa3-18b2-4eb8-68b5-84f123a78701,2016-10-21 20:41:32.262429,2016-10-21 20:41:32.262151
ac285745-a37e-e94e-3749-7b5f59fe9b1e,f0089aa3-18b2-4eb8-68b5-84f123a78701,2016-10-21 20:41:32.262429,2016-10-21 20:41:32.262151
ac285745-a37e-e94e-3749-7b5f59fe9b1e,f0089aa3-18b2-4eb8-68b5-84f123a78701,2016-10-21 20:41:32.262429,2016-10-21 20:41:32.262151
ac285745-a37e-e94e-3749-7b5f59fe9b1e,f0089aa3-18b2-4eb8-68b5-84f123a78701,2016-10-21 20:41:32.262429,2016-10-21 20:41:32.262151
ac285745-a37e-e94e-3749-7b5f59fe9b1e,e649d0c7-3f41-e2c0-03b7-867ab82fb8d2,2016-10-21 20:40:03.422335,2016-10-21 20:40:03.421961
ac285745-a37e-e94e-3749-7b5f59fe9b1e,e649d0c7-3f41-e2c0-03b7-867ab82fb8d2,2016-10-21 20:40:03.422335,2016-10-21 20:40:03.421961
ac285745-a37e-e94e-3749-7b5f59fe9b1e,e649d0c7-3f41-e2c0-03b7-867ab82fb8d2,2016-10-21 20:40:03.422335,2016-10-21 20:40:03.421961
ac285745-a37e-e94e-3749-7b5f59fe9b1e,e649d0c7-3f41-e2c0-03b7-867ab82fb8d2,2016-10-21 20:40:03.422335,2016-10-21 20:40:03.421961
ac285745-a37e-e94e-3749-7b5f59fe9b1e,8c048fd6-de2d-4cc4-6a09-18d7a38cbc30,2016-10-21 20:39:24.229372,2016-10-21 20:39:24.229091
ac285745-a37e-e94e-3749-7b5f59fe9b1e,8c048fd6-de2d-4cc4-6a09-18d7a38cbc30,2016-10-21 20:39:24.229372,2016-10-21 20:39:24.229091
ac285745-a37e-e94e-3749-7b5f59fe9b1e,8c048fd6-de2d-4cc4-6a09-18d7a38cbc30,2016-10-21 20:39:24.229372,2016-10-21 20:39:24.229091
ac285745-a37e-e94e-3749-7b5f59fe9b1e,8c048fd6-de2d-4cc4-6a09-18d7a38cbc30,2016-10-21 20:39:24.229372,2016-10-21 20:39:24.229091
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
4e1e800f-c078-c6fc-3b58-be548544305b,19446cfe-07d8-0c0d-c442-4dd8f44fd24c,2016-10-21 18:29:28.16748,2016-10-21 18:29:28.167037
