first_name,last_name,country_code,state_code,city,cb_url,logo_url,profile_image_url,twitter_url,facebook_url,primary_affiliation_organization,primary_affiliation_title,primary_organization_uuid,gender,uuid,created_at,updated_at
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
Igor,Shoifot,USA,CA,San Francisco,https://www.crunchbase.com/person/igor-shoifot,https://www.crunchbase.com/person/igor-shoifot/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397181754/565b92a989dbf13302d7db86ef1b3aea.jpg,https://www.twitter.com/shoifot,http://www.facebook.com/iggysh,TMT Investments,Investment Partner,9ccdb121-e93c-9a3e-6d11-57920cc82ecb,Male,389ee7c8-6b42-1ed8-70f9-95c10d4d7765,2007-11-23 04:04:07,2016-10-15 21:27:28.586609
Igor,Shoifot,USA,CA,San Francisco,https://www.crunchbase.com/person/igor-shoifot,https://www.crunchbase.com/person/igor-shoifot/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397181754/565b92a989dbf13302d7db86ef1b3aea.jpg,https://www.twitter.com/shoifot,http://www.facebook.com/iggysh,TMT Investments,Investment Partner,9ccdb121-e93c-9a3e-6d11-57920cc82ecb,Male,389ee7c8-6b42-1ed8-70f9-95c10d4d7765,2007-11-23 04:04:07,2016-10-15 21:27:28.586609
Igor,Shoifot,USA,CA,San Francisco,https://www.crunchbase.com/person/igor-shoifot,https://www.crunchbase.com/person/igor-shoifot/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397181754/565b92a989dbf13302d7db86ef1b3aea.jpg,https://www.twitter.com/shoifot,http://www.facebook.com/iggysh,TMT Investments,Investment Partner,9ccdb121-e93c-9a3e-6d11-57920cc82ecb,Male,389ee7c8-6b42-1ed8-70f9-95c10d4d7765,2007-11-23 04:04:07,2016-10-15 21:27:28.586609
Igor,Shoifot,USA,CA,San Francisco,https://www.crunchbase.com/person/igor-shoifot,https://www.crunchbase.com/person/igor-shoifot/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397181754/565b92a989dbf13302d7db86ef1b3aea.jpg,https://www.twitter.com/shoifot,http://www.facebook.com/iggysh,TMT Investments,Investment Partner,9ccdb121-e93c-9a3e-6d11-57920cc82ecb,Male,389ee7c8-6b42-1ed8-70f9-95c10d4d7765,2007-11-23 04:04:07,2016-10-15 21:27:28.586609
Amol,Sarva,USA,NY,New York,https://www.crunchbase.com/person/amol-sarva,https://www.crunchbase.com/person/amol-sarva/primary-image/raw,http://public.crunchbase.com/t_api_images/v1402052865/h2dg3q9tw0qvg5a5gaz6.jpg,https://www.twitter.com/amol,http://www.facebook.com/amolsarva,Knotable,Co-Founder & CEO,63948a4d-fae9-c690-802f-2435eec683c1,Male,58df9ab6-4ef6-1673-45ef-830dab6bd601,2008-11-30 02:36:08,2016-08-31 12:57:13.506161
Amol,Sarva,USA,NY,New York,https://www.crunchbase.com/person/amol-sarva,https://www.crunchbase.com/person/amol-sarva/primary-image/raw,http://public.crunchbase.com/t_api_images/v1402052865/h2dg3q9tw0qvg5a5gaz6.jpg,https://www.twitter.com/amol,http://www.facebook.com/amolsarva,Knotable,Co-Founder & CEO,63948a4d-fae9-c690-802f-2435eec683c1,Male,58df9ab6-4ef6-1673-45ef-830dab6bd601,2008-11-30 02:36:08,2016-08-31 12:57:13.506161
Amol,Sarva,USA,NY,New York,https://www.crunchbase.com/person/amol-sarva,https://www.crunchbase.com/person/amol-sarva/primary-image/raw,http://public.crunchbase.com/t_api_images/v1402052865/h2dg3q9tw0qvg5a5gaz6.jpg,https://www.twitter.com/amol,http://www.facebook.com/amolsarva,Knotable,Co-Founder & CEO,63948a4d-fae9-c690-802f-2435eec683c1,Male,58df9ab6-4ef6-1673-45ef-830dab6bd601,2008-11-30 02:36:08,2016-08-31 12:57:13.506161
