entity_uuid,competitor_uuid,created_at,updated_at
d4740ced-5760-6e1e-15c4-ecc2bb2444dc,5f95c93e-60eb-1780-f655-9df172ce2511,2016-10-21 11:05:20.42563,2016-10-21 11:05:20.425213
3018c737-724b-3b68-3e42-ba4e1ad74cfd,fabda0b1-040d-907e-9d06-f6ea5ef08c8f,2016-10-21 11:03:27.754406,2016-10-21 11:03:27.754105
3018c737-724b-3b68-3e42-ba4e1ad74cfd,fabda0b1-040d-907e-9d06-f6ea5ef08c8f,2016-10-21 11:03:27.754406,2016-10-21 11:03:27.754105
3018c737-724b-3b68-3e42-ba4e1ad74cfd,fabda0b1-040d-907e-9d06-f6ea5ef08c8f,2016-10-21 11:03:27.754406,2016-10-21 11:03:27.754105
3018c737-724b-3b68-3e42-ba4e1ad74cfd,fabda0b1-040d-907e-9d06-f6ea5ef08c8f,2016-10-21 11:03:27.754406,2016-10-21 11:03:27.754105
3018c737-724b-3b68-3e42-ba4e1ad74cfd,5718692c-a4e1-d5db-0baf-5ad8c64e4092,2016-10-21 11:02:25.44326,2016-10-21 11:02:25.442983
3018c737-724b-3b68-3e42-ba4e1ad74cfd,5718692c-a4e1-d5db-0baf-5ad8c64e4092,2016-10-21 11:02:25.44326,2016-10-21 11:02:25.442983
3018c737-724b-3b68-3e42-ba4e1ad74cfd,5718692c-a4e1-d5db-0baf-5ad8c64e4092,2016-10-21 11:02:25.44326,2016-10-21 11:02:25.442983
3018c737-724b-3b68-3e42-ba4e1ad74cfd,5718692c-a4e1-d5db-0baf-5ad8c64e4092,2016-10-21 11:02:25.44326,2016-10-21 11:02:25.442983
3018c737-724b-3b68-3e42-ba4e1ad74cfd,b5e072a3-a1ca-bdff-4a34-3c561c8b9df7,2016-10-21 11:00:59.187375,2016-10-21 11:00:59.186966
3018c737-724b-3b68-3e42-ba4e1ad74cfd,b5e072a3-a1ca-bdff-4a34-3c561c8b9df7,2016-10-21 11:00:59.187375,2016-10-21 11:00:59.186966
3018c737-724b-3b68-3e42-ba4e1ad74cfd,b5e072a3-a1ca-bdff-4a34-3c561c8b9df7,2016-10-21 11:00:59.187375,2016-10-21 11:00:59.186966
3018c737-724b-3b68-3e42-ba4e1ad74cfd,b5e072a3-a1ca-bdff-4a34-3c561c8b9df7,2016-10-21 11:00:59.187375,2016-10-21 11:00:59.186966
3018c737-724b-3b68-3e42-ba4e1ad74cfd,e62b140b-2321-d4b5-a74c-19d989be276b,2016-10-21 11:00:25.223417,2016-10-21 11:00:25.223147
3018c737-724b-3b68-3e42-ba4e1ad74cfd,e62b140b-2321-d4b5-a74c-19d989be276b,2016-10-21 11:00:25.223417,2016-10-21 11:00:25.223147
3018c737-724b-3b68-3e42-ba4e1ad74cfd,e62b140b-2321-d4b5-a74c-19d989be276b,2016-10-21 11:00:25.223417,2016-10-21 11:00:25.223147
3018c737-724b-3b68-3e42-ba4e1ad74cfd,e62b140b-2321-d4b5-a74c-19d989be276b,2016-10-21 11:00:25.223417,2016-10-21 11:00:25.223147
7a6d66cb-e0d9-0036-4f10-a4ae4d88b0ec,16cc5a25-8f1b-ecc2-1acf-865e474e83d5,2016-10-21 10:20:45.574625,2016-10-21 10:20:45.574257
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,809b2cc8-fe16-3987-b43b-e18db70bdd76,2016-10-21 10:00:42.546571,2016-10-21 10:00:42.5461
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
