event_uuid,relationship_to_event,entity_uuid,type,relationship_detail,created_at,updated_at
3b9e6997-9dea-eb1a-628b-643f1df11ace,organizer,ae8030df-4619-7ef9-3aa0-56a4c27106c9,Organization,,2016-09-30 04:01:57.877296,2016-09-30 04:01:57.876855
3b9e6997-9dea-eb1a-628b-643f1df11ace,venue,c625924e-bb94-0d6e-1d60-d9d35852bd3c,Address,,2016-09-30 04:01:05.226871,2016-09-30 04:01:05.226508
3b9e6997-9dea-eb1a-628b-643f1df11ace,venue,d61714f5-3813-7779-844f-41ec0a198c49,Address,,2016-09-30 04:01:04.067206,2016-09-30 04:01:04.066875
27279be8-cf6f-4cac-1939-fb3d5ee729b8,ntinmarket,262727f4-409a-1b3a-4e14-040339daa54a,Market,,2016-09-29 04:03:26.131521,2016-09-29 04:03:26.131128
27279be8-cf6f-4cac-1939-fb3d5ee729b8,ntinmarket,450c30b7-4e4e-2081-2a88-1ccea6196953,Market,,2016-09-29 04:02:57.577533,2016-09-29 04:02:57.57723
27279be8-cf6f-4cac-1939-fb3d5ee729b8,ntinmarket,9bff86a3-0dc8-1420-9a63-3b86f51d2f36,Market,,2016-09-29 04:02:36.382401,2016-09-29 04:02:36.38198
27279be8-cf6f-4cac-1939-fb3d5ee729b8,ntinmarket,5e61c8d6-0b40-8d9a-5d29-8142b897593e,Market,,2016-09-29 04:02:17.455426,2016-09-29 04:02:17.455183
27279be8-cf6f-4cac-1939-fb3d5ee729b8,ntinmarket,f8146b4d-5d26-53a6-fea7-304e54b40e50,Market,,2016-09-29 04:01:56.998954,2016-09-29 04:01:56.998708
27279be8-cf6f-4cac-1939-fb3d5ee729b8,ntinmarket,d29852ab-4bbf-95f5-6087-563ff127de71,Market,,2016-09-29 04:01:38.520855,2016-09-29 04:01:38.520525
27279be8-cf6f-4cac-1939-fb3d5ee729b8,ntinmarket,be21aa9f-99cd-0379-b746-899e0ec7e0fd,Market,,2016-09-29 04:01:21.486771,2016-09-29 04:01:21.486439
d41b2f43-c068-578b-8964-1effeabd195d,speaker,42243645-599e-8a7f-2be7-34c4ad21f340,Person,,2016-09-29 03:30:41.778788,2016-09-29 03:30:41.778421
d41b2f43-c068-578b-8964-1effeabd195d,speaker,55463a30-ac31-3058-dee9-8866623a9835,Person,,2016-09-29 03:30:20.341643,2016-09-29 03:30:20.341175
d41b2f43-c068-578b-8964-1effeabd195d,speaker,2c03e6a1-bd04-d525-afee-1f99b9780408,Person,,2016-09-29 03:29:38.451506,2016-09-29 03:29:38.451028
d41b2f43-c068-578b-8964-1effeabd195d,speaker,ab727f28-e30d-73a2-9d93-fdac6ba2773d,Person,,2016-09-29 03:27:56.192599,2016-09-29 03:27:56.192277
d41b2f43-c068-578b-8964-1effeabd195d,speaker,634acff9-1743-1ab1-556e-18897819f72f,Person,,2016-09-29 03:27:20.492411,2016-09-29 03:27:20.492055
d41b2f43-c068-578b-8964-1effeabd195d,speaker,289d79b3-5ef9-93f7-f0a9-f2747c29d3ac,Person,,2016-09-29 03:26:54.110999,2016-09-29 03:26:54.110674
d41b2f43-c068-578b-8964-1effeabd195d,sponsor,b2172011-db25-85f1-3043-36ba134c0262,Organization,,2016-09-29 03:18:41.277906,2016-09-29 03:18:41.277424
d41b2f43-c068-578b-8964-1effeabd195d,sponsor,0eb819a3-efb2-137b-57de-6e5f4b613772,Organization,,2016-09-29 03:18:24.883441,2016-09-29 03:18:24.883069
d41b2f43-c068-578b-8964-1effeabd195d,sponsor,b0544b08-2ffb-5928-301f-14086ddac58b,Organization,,2016-09-29 03:18:05.054987,2016-09-29 03:18:05.054613
d41b2f43-c068-578b-8964-1effeabd195d,sponsor,bd23a50d-2ae3-be33-2a35-383ea9ed13fd,Organization,,2016-09-29 03:17:46.042431,2016-09-29 03:17:46.042065
d41b2f43-c068-578b-8964-1effeabd195d,sponsor,26e68173-12a9-8f23-4d2f-cf80fa1abc1c,Organization,,2016-09-29 03:17:21.192889,2016-09-29 03:17:21.192451
d41b2f43-c068-578b-8964-1effeabd195d,venue,7ac5fddb-f8ee-31af-1498-60a27e34ff13,Address,,2016-09-29 03:16:15.76306,2016-09-29 03:16:15.762693
d41b2f43-c068-578b-8964-1effeabd195d,venue,aed64a6a-8d00-b9b7-1664-a9794b202c8c,Address,,2016-09-29 03:16:14.907832,2016-09-29 03:16:14.907388
