acquiree_name,acquiree_country_code,state_code,acquiree_region,acquiree_city,acquirer_name,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_on,price_usd,price,price_currency_code,acquiree_cb_url,acquirer_cb_url,acquiree_uuid,acquirer_uuid,acquisition_uuid,created_at,updated_at
ZeroVM,USA,TX,San Antonio,San Antonio,Rackspace,USA,TX,San Antonio,San Antonio,2013-10-24,,,,https://www.crunchbase.com/organization/zerovm,https://www.crunchbase.com/organization/rackspace,7786aa52-1358-aa12-18c0-5e009490cd7d,545431fb-8c10-7fdd-e6be-2efd4048c558,1e15db88-4831-8270-7e46-0392d599cd9b,2013-11-13 00:15:15,2015-07-16 00:17:48
Aurora Networks,USA,CA,SF Bay Area,Santa Clara,Pace,DEU,,DEU - Other,England,2013-10-23,310000000,,,https://www.crunchbase.com/organization/aurora-networks,https://www.crunchbase.com/organization/pace,06a08607-3bfd-3cc1-d63e-fce26ded25dd,b556e522-8c6a-7ae4-8b1c-73c216539446,47f80f57-cf6a-1d2b-2ed1-776feeee36fb,2013-10-23 09:25:27,2016-06-29 11:39:07.093761
Level Up Analytics,USA,CA,SF Bay Area,Mountain View,Intuit,USA,CA,SF Bay Area,Mountain View,2013-10-23,,,,https://www.crunchbase.com/organization/level-up-analytics,https://www.crunchbase.com/organization/intuit,5a68bb23-2ce4-b358-8cb0-228986ad3473,fbef6457-9149-72cf-af57-7cfbe15c05f8,619dc599-3687-fdbd-786f-b0a702a0307a,2013-10-23 21:46:12,2014-04-20 11:59:18
Liberty Bancshares,USA,MO,Branson,Springfield,Home BancShares,USA,AR,Little Rock,Conway,2013-10-23,,,,https://www.crunchbase.com/organization/liberty-bancshares,https://www.crunchbase.com/organization/home-bancshares,7b5461c8-a7eb-fe48-0abe-4a05edf1ab0c,940b32f7-0f8f-4522-1ba8-7acce72614bc,1c18b8c2-4ffc-dae5-f5c8-7feffc6d630d,2013-10-24 04:52:11,2014-04-20 11:59:20
LookFlow,USA,CA,SF Bay Area,Mountain View,Yahoo!,USA,CA,SF Bay Area,Sunnyvale,2013-10-23,,,,https://www.crunchbase.com/organization/lookflow,https://www.crunchbase.com/organization/yahoo,71130eaf-3b68-e644-4bb1-e4954fd413ad,71d51015-1800-ed61-8bc3-8dca49caec15,a942826a-0d6a-ab4d-f350-4e5fb000a94d,2013-10-23 17:26:05,2014-04-20 11:59:17
Plasmyd,USA,CA,San Diego,San Diego,Academia.edu,USA,CA,SF Bay Area,San Francisco,2013-10-23,,,,https://www.crunchbase.com/organization/plasmyd,https://www.crunchbase.com/organization/academia-edu,8d2a5627-8f78-e83a-a073-b2513571fd83,ec346518-e5a7-2330-daa3-259992890c01,36fc245e-d35f-97b9-044f-b641355c97c4,2013-10-23 17:29:40,2014-04-20 11:59:17
SoCoCare,,,,,Five9 Inc,USA,CA,SF Bay Area,San Ramon,2013-10-23,,,,https://www.crunchbase.com/organization/sococare,https://www.crunchbase.com/organization/five9,05f88457-1f67-afce-3aff-c54e0ef80402,0bb21e55-f781-de03-0978-477cfdbb9338,6f48a64e-6f33-7b83-fd7c-964b6ff68b2a,2013-10-24 04:05:24,2014-04-20 11:59:19
Tele2,SWE,,Stockholm,Stockholm,Telenor,NOR,,Fornebu,Fornebu,2013-10-23,,775000000,SEK,https://www.crunchbase.com/organization/tele2,https://www.crunchbase.com/organization/telenor,65c84659-5da9-9626-09fc-7b0a6c3b16b1,c2ca7bb1-b7a3-e925-66ad-d87e19201f8c,6d9c55d0-0a7b-9691-9ca6-bf4cec83e077,2013-10-23 11:14:04,2014-04-20 11:59:17
Aplifi,USA,UT,Salt Lake City,Salt Lake City,iPipeline,USA,PA,Philadelphia,Exton,2013-10-22,,,,https://www.crunchbase.com/organization/aplifi,https://www.crunchbase.com/organization/internet-pipeline,0a1ce6e8-bb03-ee9f-de5b-36ee6dca77d0,5c29296a-47e5-5906-9f21-474e47558245,43793b96-2762-3486-3927-a6599309def4,2013-10-23 11:01:55,2014-04-20 11:59:16
FlexyCore,FRA,,Rennes,Rennes,Google,USA,CA,SF Bay Area,Mountain View,2013-10-22,23000000,,,https://www.crunchbase.com/organization/flexycore,https://www.crunchbase.com/organization/google,91b973f9-e0ab-b0e2-f960-8b044e2fbd65,6acfa7da-1dbd-936e-d985-cf07a1b27711,3d7751b8-1f9b-89f1-8398-b031d605e819,2013-10-22 12:43:01,2015-06-05 19:29:00
Openera,CAN,ON,Ottawa,Ottawa,LiveQoS,CAN,ON,Ottawa,Ottawa,2013-10-22,,,,https://www.crunchbase.com/organization/openera,https://www.crunchbase.com/organization/ipeak-networks,a84279b7-0bc1-a637-4499-31fbf53cfadf,d9bcbf6d-b973-d151-05b2-620a6a54f52b,2dba4c28-4379-adea-aa02-939d30620eb4,2013-10-23 11:09:58,2016-09-14 10:12:05.944176
Shutl,GBR,,London,London,eBay,USA,CA,SF Bay Area,San Jose,2013-10-22,,,,https://www.crunchbase.com/organization/shutl,https://www.crunchbase.com/organization/ebay,494c027a-c5c8-d6f6-7020-1d5799673fd3,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1,69e77ac1-75ee-3b61-d52b-396c14644a59,2013-10-22 18:38:09,2014-04-20 11:59:15
TribeHR,CAN,ON,Toronto,Kitchener,NetSuite,USA,CA,SF Bay Area,San Mateo,2013-10-22,,,,https://www.crunchbase.com/organization/tribe-hr,https://www.crunchbase.com/organization/netsuite,ab3e14ba-7acb-8a53-a0c3-86d797b51e0a,9402f169-bc93-0870-03f9-8baa654aab2c,5dbfc49f-b669-f3be-457b-6592f82a70f3,2013-10-23 10:52:31,2014-04-20 11:59:16
Mission Community Bank,USA,CA,San Luis Obispo,San Luis Obispo,Heritage Oaks Bank,USA,CA,CA - Other,Paso Robles,2013-10-21,,,,https://www.crunchbase.com/organization/mission-community-bank,https://www.crunchbase.com/organization/heritage-oaks-bank,5fc8106f-7584-c198-f20b-94347f4098c4,04e76bca-f739-16d2-329b-6d68fab35df4,7f6c9513-8f31-1c3e-e573-e052534df26e,2013-10-29 03:14:08,2014-04-20 11:59:29
Symmetricom,USA,CA,SF Bay Area,San Jose,Microsemi,USA,CA,Anaheim,Aliso Viejo,2013-10-21,,,,https://www.crunchbase.com/organization/symmetricom,https://www.crunchbase.com/organization/microsemi-corporation,28e3f81c-ec90-d30c-8aff-5a94375e36bd,9203e39d-8100-f96e-e1f5-7c856e6d0955,c4f80a74-9c92-724b-a871-4d62f0dc1f4c,2013-10-22 04:51:53,2014-04-20 11:59:13
