entity_uuid,fund_uuid,fund_name,started_on,announced_on,raised_amount,raised_amount_currency_code,created_at,updated_at
b08efc27-da40-505a-6f9d-c9e14247bf36,8500299b-0d2f-dddd-022d-30a67fb73ef4,Accel India IV,,2015-03-24,305000000,USD,2015-03-24 13:01:03,2015-03-25 07:34:06
56e40f50-97c7-2a77-255d-1d97d5f30646,b22143f7-adf5-5e12-68f6-542fa175902a,500 Kimchi,,2015-02-26,15000000,USD,2015-02-26 12:33:49,2015-02-26 12:35:27
beadb218-e5fa-2686-bc95-4dfaa9acc2e8,a30c16e3-0ad8-bfbe-d06e-6de18dce5b27,BVP IX,,2015-02-18,1600000000,USD,2015-02-19 03:43:26,2015-02-19 03:44:16
e26b98e6-3997-577d-eb5b-a195e31d03e3,7b0c5ed9-3973-90d4-8348-a73f6e4e0738,Start-Up Chile SCALE,,2015-01-19,63000000,USD,2015-01-20 14:21:24,2015-01-20 14:24:01
c06fab5e-2646-a238-a280-1ce83e63f507,65a26670-baf7-2a72-977d-3bf1554dd9bd,Angel Capital Entrepreneur Fund II,,2015-01-01,,USD,2015-09-03 04:38:50,2015-09-03 04:39:31
3bfb69a8-61b6-ec30-1512-73bd1ca35bc5,1050bbc4-39f0-a0b2-04ba-3c6054b57e3b,Fund II,,2015-01-01,,USD,2016-02-26 22:51:28.304973,2016-02-26 22:51:28.304036
fe5a4983-a46a-2fc2-5633-e35e0a86b694,92426f56-7291-0053-ea4d-e021a531afea,Khosla Ventures Seed C LP,,2014-12-18,400000000,USD,2014-12-18 13:54:57,2015-09-29 06:22:56
add1bcfe-41e3-7828-253b-d7c8694ed4ca,85db50e9-a3a5-871c-2117-118896203f13,Polaris Partners VII,,2014-11-24,466000000,USD,2014-08-12 03:08:31,2016-09-19 13:35:17.782955
56e40f50-97c7-2a77-255d-1d97d5f30646,57ffa9ae-a124-c2bc-63ec-d2243870c094,500 Startups Mobile Collective,,2014-11-18,10000000,USD,2014-11-19 03:14:41,2014-11-19 03:15:13
26bcf130-4aa8-a3b3-3571-1b8f13143370,f3fce51e-2a12-6446-37bf-e248ec74c50a,Fund X,,2014-10-16,675000000,USD,2014-07-31 12:18:02,2014-10-17 02:33:37
34a9bb66-0984-8de0-e7fb-13e976b4a135,c4ce1364-c033-7cb4-52cd-82618e434d7b,GC Stripe Platform Fund,,2014-09-30,10000000,USD,2014-10-01 02:41:00,2014-10-01 02:41:44
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,caefa25d-b2dc-91ec-b5e7-c04b5ad31a06,KPCB Digital Growth Fund II LLC,,2014-09-16,,USD,2016-07-16 08:48:55.15398,2016-07-16 08:49:31.975597
0c867fde-2b9a-df10-fdb9-66b74f355f91,6a439878-2031-90de-1183-1672fa0c54c0,Sequoia Capital China Venture Fund V LP,,2014-09-02,,USD,2014-09-02 09:43:46,2014-09-12 15:56:08
ed24f9ce-2313-cb8c-8ff2-9de6899ea992,4ad3d921-3baa-17a8-e2a1-fd16e85568ce,Venrock Fund VII,,2014-07-31,450000000,USD,2014-06-23 04:24:17,2014-09-12 16:03:06
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,1083cc3f-78bf-8dd6-e457-2f2b1a8badda,KPCB XVI LLC,,2014-07-17,,USD,2016-07-16 08:58:25.767113,2016-07-16 08:59:22.945818
902deab4-ec41-68ce-d9df-c0c959578176,0edb9e2d-b187-441c-246f-b3b188480d00,"SV Angel V, L.P.",,2014-07-14,,USD,2014-07-14 12:56:44,2014-09-12 16:03:17
