person_uuid,org_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
00086d8c-20e6-7c59-aad0-55e8ddd768d2,1e4f199c-363b-451b-a164-f94571075ee5,,,f,Vice President and General Manager of the Home Products,t,t,f
0009f5cb-b369-880a-9638-f4eece52f418,0c430e2d-0b76-258c-1d5e-b973cc3cd827,2008-11-02 00:00:00,,t,Founder / CTO,t,t,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,29cf2683-20c1-f185-2841-c21c0ad65991,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,c9256bba-b0ea-fa94-2f21-8d54788ffcc5,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,8c63990c-84be-d178-1670-b51c15a30cff,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,cc1c1abf-7c27-0eba-fc0e-605106002058,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,808aa938-f826-cef1-c992-2cbbbd24caec,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,97644e28-742b-60b6-8873-35cd701ebb94,,,f,Team Member,t,f,f
00104afd-01f7-d1f0-90af-fff7af4a39ad,03b4c485-d96c-3c34-2e4c-e6c3d35066e0,,,f,Team Member,t,f,f
00016334-9af9-1bae-0737-b5c0e906fcad,0393ec59-73c7-c747-c97d-43455ff3adfb,,,f,President - Chevron International Oil Company,t,t,f
0002b103-5086-f3af-a977-b1b22bb27f7f,7812260c-7e86-567f-1ac3-d58121cecf9f,,,f,Attorney,t,f,f
0002b103-5086-f3af-a977-b1b22bb27f7f,afc8d4ee-5c42-dee7-067f-226c251959b0,,,t,Chief Operating Officer,t,t,f
000cc557-41b9-5790-4a58-aad9df704f75,bb28d78b-0341-5f23-3e53-0b4169e16c4b,2010-08-02 00:00:00,,t,Chief Architect,t,f,f
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,a9bd0416-5fbb-fbf1-917a-5e1a8babac06,,,t,Board of Trustees,f,f,t
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,63364fa9-fc3c-28af-ae49-e49838ae9267,,,f,Global Transportation Group,t,f,f
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,c97864c5-7392-e25f-3e63-a12bf51d2f61,,,f,CEO,t,t,f
000fcf27-3a2f-f2ab-2b4f-d7362f4451dd,d1901542-3b98-e89b-3603-f24b5aee3fdb,,,t,Board Member,f,t,t
000900e0-de66-f99d-38cb-def9d7b8a75b,85767bb9-1b17-9997-06a2-56525738e398,2013-08-09 00:00:00,,t,COO/Co-Founder,t,t,f
